id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
22757,9 04 2000,Ethiopia,Burkina Faso,2,1,FIFA World Cup qualification,Addis Abeba,Ethiopia,FALSE
22758,9 04 2000,Gambia,Morocco,0,1,FIFA World Cup qualification,Bakau,Gambia,FALSE
22759,9 04 2000,Iran,Bahrain,3,0,AFC Asian Cup qualification,Teheran,Iran,FALSE
22760,9 04 2000,South Korea,Burma,4,0,AFC Asian Cup qualification,Seoul,South Korea,FALSE
22761,9 04 2000,Laos,Mongolia,2,1,AFC Asian Cup qualification,Seoul,South Korea,TRUE
22762,9 04 2000,Lesotho,South Africa,0,2,FIFA World Cup qualification,Maseru,Lesotho,FALSE
22763,9 04 2000,Libya,Mali,3,0,FIFA World Cup qualification,Tripoli,Libya,FALSE
22764,9 04 2000,Rwanda,Ivory Coast,2,2,FIFA World Cup qualification,Kigali,Rwanda,FALSE
22765,9 04 2000,Sudan,Mozambique,1,0,FIFA World Cup qualification,Omdurman,Sudan,FALSE
22766,9 04 2000,Eswatini,Angola,0,1,FIFA World Cup qualification,Lobamba,Eswatini,FALSE
22767,9 04 2000,Syria,Maldives,2,1,AFC Asian Cup qualification,Teheran,Iran,TRUE
22768,10 04 2000,Fiji,New Caledonia,2,1,Oceania Nations Cup qualification,Suva,Fiji,FALSE
22769,10 04 2000,Solomon Islands,Vanuatu,2,1,Oceania Nations Cup qualification,Suva,Fiji,TRUE
22770,11 04 2000,Bahrain,Maldives,1,0,AFC Asian Cup qualification,Teheran,Iran,TRUE
22771,11 04 2000,Fiji,Vanuatu,4,1,Oceania Nations Cup qualification,Suva,Fiji,FALSE
22772,11 04 2000,Iran,Syria,1,1,AFC Asian Cup qualification,Teheran,Iran,FALSE
22773,11 04 2000,New Caledonia,Papua New Guinea,6,1,Oceania Nations Cup qualification,Suva,Fiji,TRUE
22774,12 04 2000,Ethiopia,DR Congo,1,2,Friendly,Addis Abeba,Ethiopia,FALSE
22775,13 04 2000,Bahrain,Syria,0,1,AFC Asian Cup qualification,Teheran,Iran,TRUE
22776,13 04 2000,Iran,Maldives,3,0,AFC Asian Cup qualification,Teheran,Iran,FALSE
22777,13 04 2000,Solomon Islands,Papua New Guinea,4,2,Oceania Nations Cup qualification,Suva,Fiji,TRUE
22778,13 04 2000,Vanuatu,New Caledonia,6,0,Oceania Nations Cup qualification,Suva,Fiji,TRUE
22779,15 04 2000,Fiji,Solomon Islands,2,2,Oceania Nations Cup qualification,Suva,Fiji,FALSE
22780,15 04 2000,Malawi,Mozambique,2,1,COSAFA Cup,Blantyre,Malawi,FALSE
22781,15 04 2000,Papua New Guinea,Vanuatu,1,4,Oceania Nations Cup qualification,Suva,Fiji,TRUE
22782,16 04 2000,Antigua and Barbuda,Bermuda,0,0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,FALSE
22783,16 04 2000,Bahamas,Haiti,0,4,FIFA World Cup qualification,Nassau,Bahamas,FALSE
22784,16 04 2000,Barbados,Aruba,4,0,FIFA World Cup qualification,Bridgetown,Barbados,FALSE
22785,16 04 2000,Belize,El Salvador,1,3,FIFA World Cup qualification,Orange Walk,Belize,FALSE
22786,16 04 2000,Dominican Republic,Trinidad and Tobago,0,1,FIFA World Cup qualification,San Crist??bal,Dominican Republic,FALSE
22787,16 04 2000,Nicaragua,Honduras,0,1,FIFA World Cup qualification,Diriamba,Nicaragua,FALSE
22788,16 04 2000,Saint Vincent and the Grenadines,Saint Kitts and Nevis,1,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,FALSE
22789,16 04 2000,Suriname,Cuba,0,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
22790,16 04 2000,Uganda,Kenya,2,2,Friendly,Kampala,Uganda,FALSE
22791,19 04 2000,Cameroon,Somalia,3,0,FIFA World Cup qualification,Yaound??,Cameroon,FALSE
22792,19 04 2000,Mali,Burkina Faso,2,1,Friendly,Bamako,Mali,FALSE
22793,20 04 2000,Egypt,Mauritius,2,0,FIFA World Cup qualification,Cairo,Egypt,FALSE
22794,21 04 2000,Algeria,Cape Verde,2,0,FIFA World Cup qualification,Annaba,Algeria,FALSE
22795,22 04 2000,Gabon,Madagascar,1,0,FIFA World Cup qualification,Libreville,Gabon,FALSE
22796,22 04 2000,Kenya,Malawi,0,0,FIFA World Cup qualification,Nairobi,Kenya,FALSE
22797,22 04 2000,Morocco,Gambia,2,0,FIFA World Cup qualification,Casablanca,Morocco,FALSE
22798,22 04 2000,Namibia,Seychelles,3,0,FIFA World Cup qualification,Windhoek,Namibia,FALSE
22799,22 04 2000,Nigeria,Eritrea,4,0,FIFA World Cup qualification,Lagos,Nigeria,FALSE
22800,22 04 2000,Sierra Leone,S??o Tom?? and Pr??ncipe,4,0,FIFA World Cup qualification,Freetown,Sierra Leone,FALSE
22801,22 04 2000,South Africa,Lesotho,1,0,FIFA World Cup qualification,Bloemfontein,South Africa,FALSE
22802,22 04 2000,Saint Kitts and Nevis,Saint Vincent and the Grenadines,1,2,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE
22803,22 04 2000,Tunisia,Mauritania,3,0,FIFA World Cup qualification,Tunis,Tunisia,FALSE
22804,22 04 2000,Zambia,Botswana,1,0,FIFA World Cup qualification,Lusaka,Zambia,FALSE
22805,23 04 2000,Angola,Eswatini,7,1,FIFA World Cup qualification,Luanda,Angola,FALSE
22806,23 04 2000,Bermuda,Antigua and Barbuda,1,1,FIFA World Cup qualification,Hamilton,Bermuda,FALSE
22807,23 04 2000,Burkina Faso,Ethiopia,3,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,FALSE
22808,23 04 2000,Cameroon,Somalia,3,0,FIFA World Cup qualification,Yaound??,Cameroon,FALSE
22809,23 04 2000,Congo,Equatorial Guinea,2,1,FIFA World Cup qualification,Pointe-Noire,Congo,FALSE
22810,23 04 2000,DR Congo,Djibouti,9,1,FIFA World Cup qualification,Kinshasa,DR Congo,FALSE
22811,23 04 2000,Egypt,Mauritius,4,2,FIFA World Cup qualification,Alexandria,Egypt,FALSE
22812,23 04 2000,Ghana,Tanzania,3,2,FIFA World Cup qualification,Accra,Ghana,FALSE
22813,23 04 2000,Guinea,Uganda,3,0,FIFA World Cup qualification,Conakry,Guinea,FALSE
22814,23 04 2000,Ivory Coast,Rwanda,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,FALSE
22815,23 04 2000,Liberia,Chad,0,0,FIFA World Cup qualification,Paynesville,Liberia,FALSE
22816,23 04 2000,Mali,Libya,3,1,FIFA World Cup qualification,Bamako,Mali,FALSE
